자치구,시점,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상가구,총 가구수,1인가구 비율,2인가구 비율,3인가구 비율,4인가구 비율,5인가구 비율,6인가구 비율,7인가구이상 비율
구로구,2017,42984,40714,34809,28676,6884,1586,457,156110,0.27534430850041636,0.2608032797386458,0.22297738773941453,0.18369098712446352,0.044097111011466274,0.010159502914611492,0.002927422970982
구로구,2018,44151,41836,34633,27310,6479,1425,401,156235,0.282593528978782,0.2677761065062246,0.22167248055813357,0.174800780874964,0.04146958107978366,0.00912087560405799,0.0025666463980542134
구로구,2019,47740,43700,34624,26459,6214,1261,380,160378,0.29767175048946865,0.2724812630161244,0.2158899599695719,0.16497898714287496,0.03874596266320817,0.007862674431655215,0.002369402287096734
구로구,2020,50971,45518,34645,25747,5756,1160,286,164083,0.3106415655491428,0.2774083847808731,0.21114314097133768,0.15691448839916383,0.03507980717076114,0.0070695928280199655,0.0017430203007014742
구로구,2021,54980,46467,33908,24399,5206,995,242,166197,0.3308122288609301,0.2795898842939403,0.20402293663543866,0.14680770411018249,0.03132427179792656,0.005986871002485003,0.001456103299096855
금천구,2017,32928,23735,19236,14787,3595,819,231,95331,0.34540705541744027,0.24897462525306563,0.20178116247600467,0.15511218806054694,0.03771071319927411,0.008591119363061334,0.002423136230607043
금천구,2018,34564,24305,18948,14102,3388,769,222,96298,0.3589274958981495,0.2523936114976427,0.19676421109472678,0.14644125527009907,0.03518245446426717,0.007985627946582483,0.0023053438285322646
금천구,2019,37778,25207,18771,13535,3131,708,185,99315,0.3803856416452701,0.25380858883350954,0.18900468207219454,0.13628354226451192,0.03152595277651916,0.007128832502643105,0.001862759905351659
금천구,2020,42334,26331,18226,12863,2913,592,173,103432,0.4092930621084384,0.2545730528269781,0.17621239074947792,0.12436189960553794,0.02816343104648465,0.005723567174568799,0.0016725964885141928
금천구,2021,46827,27284,17976,11990,2681,529,143,107430,0.4358838313320302,0.25397002699432186,0.16732756213348227,0.11160755841012752,0.02495578516243135,0.0049241366471190545,0.0013310993204877595
영등포구,2017,51151,36710,30068,22879,5277,1172,302,147559,0.34664778156534,0.2487818431949254,0.2037693397217384,0.15504984446899206,0.035761966399880725,0.007942585677593369,0.002046638971530032
영등포구,2018,53477,37774,29904,22271,5038,1086,281,149831,0.35691545808277325,0.25211071140151237,0.19958486561525987,0.14864080197021978,0.03362455032670142,0.007248166267327856,0.0018754463362054582
영등포구,2019,58214,38671,29661,21503,4597,1032,245,153923,0.3782020880570155,0.25123600761419673,0.1927002462270096,0.13969971998986505,0.02986558214172021,0.006704651026812107,0.0015917049433807813
영등포구,2020,64000,40926,30371,21651,4321,916,206,162391,0.3941105110504893,0.25202135586331753,0.18702391142366265,0.1333263542930335,0.02660861747264319,0.005640706689410128,0.0012685432074437623
영등포구,2021,69806,42421,30160,20888,4228,832,183,168518,0.41423468116165635,0.25172978554219727,0.17897197925444167,0.12395115061892498,0.02508930796710144,0.004937158048398391,0.0010859374072799345
동작구,2017,54355,38981,32470,26368,6126,1402,360,160062,0.3395871599755095,0.24353687945920954,0.20285889217928052,0.16473616473616473,0.038272669340630505,0.008759105846484488,0.002249128462720696
동작구,2018,56872,39300,32597,25296,5811,1277,342,161495,0.35215950958234,0.2433511873432614,0.2018452583671321,0.15663642837239544,0.035982538159076136,0.0079073655531131,0.0021177126226818166
동작구,2019,60088,40739,32514,24570,5564,1204,284,164963,0.3642513775816395,0.24695840885531908,0.19709874335457042,0.14894249013415128,0.033728775543606745,0.007298606354152143,0.0017215981765608046
동작구,2020,64101,41489,31918,23829,5153,1044,232,167766,0.3820857623117914,0.2473027907919364,0.19025309061430803,0.14203712313579628,0.030715401213595128,0.006222953399377704,0.0013828785331950456
동작구,2021,68231,42209,31414,22647,4699,922,211,170333,0.4005741694210752,0.24780283327364633,0.18442697539525518,0.13295720735265626,0.02758713813529968,0.0054129264440830605,0.0012387499779843013
관악구,2017,106865,53069,36587,27139,6515,1584,453,232212,0.46020446833066336,0.22853685425387146,0.1575586102354745,0.11687165176648924,0.028056258935800046,0.006821352901658829,0.0019508035760425818
관악구,2018,112733,54106,35925,25997,6172,1451,377,236761,0.47614683161500415,0.22852581295061264,0.1517352942418726,0.10980271243997111,0.02606848256258421,0.006128543129991848,0.001592323059963423
관악구,2019,119863,55423,34875,24563,5806,1283,341,242154,0.49498666138077424,0.2288750134212113,0.1440199212071657,0.10143545016807486,0.0239764777786037,0.0052982812590335075,0.0014081947851367312
관악구,2020,129233,56162,33671,23251,5263,1130,249,248959,0.5190935053563036,0.22558734570752614,0.13524716921260127,0.09339288798557192,0.02114002707273085,0.004538899979514699,0.001000164685751469
관악구,2021,136255,56243,32444,21736,4762,973,206,252619,0.5393695644428962,0.22263962726477424,0.12843056143837162,0.08604261753866495,0.018850521932237876,0.003851650113411897,0.0008154572696432177
서초구,2017,39702,38291,35950,31968,7412,1685,505,155513,0.2552969848179895,0.24622378836495984,0.23117038446946558,0.20556480808678373,0.04766161028338467,0.01083510703285256,0.00324731694456412
서초구,2018,41137,38475,35620,31029,7112,1598,447,155418,0.2646862010835296,0.24755819789213604,0.2291883822980607,0.19964868934100297,0.04576046532576664,0.010281949323759153,0.0028761147357448946
서초구,2019,42667,38892,35327,29850,6704,1503,434,155377,0.2746030622292875,0.25030731704177583,0.2273631232421787,0.19211337585356905,0.04314666906942469,0.009673246362074181,0.002793206201690083
서초구,2020,43942,38867,34840,30091,6593,1412,378,156123,0.281457568711849,0.24895114749268205,0.22315738232034998,0.1927390583065916,0.042229524157235,0.009044151086002703,0.0024211679252896753
서초구,2021,45933,39715,34305,28441,5998,1227,317,155936,0.2945631541145085,0.2546878206443669,0.21999410014364867,0.182388928791299,0.038464498255694646,0.007868612764210959,0.002032885286271291
강남구,2017,62774,50634,44795,38367,8529,1770,500,207369,0.30271641373590075,0.24417342997265742,0.2160158943718685,0.18501801137103424,0.04112958060269375,0.008535509164822128,0.0024111607810232
강남구,2018,62727,50076,43542,36572,8063,1664,439,203083,0.30887371173362616,0.24657898494704136,0.2144049477307308,0.18008400506196973,0.03970297858511052,0.008193694203847688,0.002161677737673759
강남구,2019,66073,51560,43435,35800,7671,1564,421,206524,0.3199289186728903,0.24965621428986462,0.2103145397145126,0.17334547074432027,0.037143382851387734,0.007572969727489299,0.002038503999535163
강남구,2020,68999,51531,42703,36286,7517,1436,361,208833,0.33040276201558183,0.24675697806381175,0.2044839656567688,0.17375606345740377,0.03599526894695761,0.0068763078632208515,0.001728653996255381
강남구,2021,71986,53307,42713,34606,6916,1344,296,211168,0.34089445370510685,0.25243881648734656,0.20227023033792998,0.16387899681769966,0.03275117442036672,0.006364600697075315,0.0014017275344749204
송파구,2017,58848,59153,56774,49044,10760,2333,604,237516,0.24776436113777597,0.2490484851546843,0.2390323178227993,0.2064871419188602,0.04530221121945469,0.009822496168679163,0.0025429865777463413
송파구,2018,63451,61970,56824,48156,10366,2235,545,243547,0.2605287685744435,0.2544478067888334,0.23331841492607178,0.19772774864810488,0.04256262651562121,0.009176873457689892,0.0022377610892353426
송파구,2019,68861,65402,57821,47607,10014,2038,469,252212,0.2730282460786957,0.25931359332624937,0.22925554692084438,0.18875787036302794,0.03970469287742058,0.008080503703233788,0.0018595467305282858
송파구,2020,73694,66503,57189,46703,9457,1803,417,255766,0.2881305568371089,0.2600150137234816,0.22359891463290665,0.18260050202137892,0.03697520389731239,0.007049412353479352,0.001630396534332163
송파구,2021,79262,68632,56125,44462,8867,1665,365,259378,0.3055848992589965,0.2646022407451673,0.21638303942508616,0.17141777637270703,0.03418562869634279,0.006419202862231955,0.0014072126394682664
강동구,2017,41050,40892,37455,31756,7517,1561,449,160680,0.2554767239233259,0.25449340303709234,0.23310306198655714,0.1976350510331093,0.04678242469504605,0.009714961413990541,0.0027943739108787654
강동구,2018,42126,41450,36503,30197,7084,1468,405,159233,0.26455571395376587,0.2603103628016806,0.22924268210735213,0.18964033837207112,0.04448826562333185,0.00921919451370005,0.002543442628098447
강동구,2019,45188,43297,36735,29461,6606,1333,356,162976,0.27726781857451405,0.26566488317298254,0.22540128607893187,0.1807689475751031,0.04053357549577852,0.008179118397800902,0.0021843707048890635
강동구,2020,50316,47740,39449,31456,6659,1242,286,177148,0.2840336893445029,0.26949217603359904,0.22268950256282882,0.17756903831824236,0.03759003770858265,0.007011086774900084,0.0016144692573441415
강동구,2021,56905,49902,40210,30829,6224,1118,2,185190,0.3072790107457206,0.2694637939413575,0.21712835466277877,0.16647227172093526,0.033608726173119496,0.006037043036881041,1.079971920730061e-05
