,자치구별(2),시점,연령별(2),남자,여자
154,중구,2020,35~39세,1079,896
155,중구,2020,40~44세,807,659
156,중구,2020,45~49세,906,621
157,중구,2020,50~54세,945,596
158,중구,2020,55~59세,883,656
159,중구,2020,60~64세,844,785
160,중구,2020,65~69세,654,718
161,중구,2020,70~74세,422,697
162,중구,2020,75~79세,248,649
163,중구,2020,80~84세,163,524
164,중구,2020,85세이상,89,362
165,중구,2021,20세미만,68,200
166,중구,2021,20~24세,703,1529
167,중구,2021,25~29세,1753,2039
168,중구,2021,30~34세,1620,1461
169,중구,2021,35~39세,1186,1001
170,중구,2021,40~44세,863,744
171,중구,2021,45~49세,886,600
172,중구,2021,50~54세,981,628
173,중구,2021,55~59세,921,619
174,중구,2021,60~64세,897,831
175,중구,2021,65~69세,756,811
176,중구,2021,70~74세,457,711
177,중구,2021,75~79세,290,672
178,중구,2021,80~84세,161,601
179,중구,2021,85세이상,112,443
180,용산구,2016,20세미만,69,181
181,용산구,2016,20~24세,494,2097
182,용산구,2016,25~29세,1945,2163
183,용산구,2016,30~34세,2425,1891
184,용산구,2016,35~39세,1746,1445
185,용산구,2016,40~44세,1547,1224
186,용산구,2016,45~49세,1477,1127
187,용산구,2016,50~54세,1222,868
188,용산구,2016,55~59세,1132,970
189,용산구,2016,60~64세,953,985
190,용산구,2016,65~69세,565,919
191,용산구,2016,70~74세,407,1043
192,용산구,2016,75~79세,306,974
193,용산구,2016,80~84세,134,738
194,용산구,2016,85세이상,89,505
195,용산구,2017,20세미만,69,196
196,용산구,2017,20~24세,542,2116
197,용산구,2017,25~29세,2129,2485
198,용산구,2017,30~34세,2631,1989
199,용산구,2017,35~39세,1883,1620
200,용산구,2017,40~44세,1440,1198
201,용산구,2017,45~49세,1547,1195
202,용산구,2017,50~54세,1186,855
203,용산구,2017,55~59세,1183,1012
204,용산구,2017,60~64세,999,985
205,용산구,2017,65~69세,607,928
206,용산구,2017,70~74세,399,985
207,용산구,2017,75~79세,316,1024
208,용산구,2017,80~84세,155,785
209,용산구,2017,85세이상,90,527
210,용산구,2018,20세미만,60,247
211,용산구,2018,20~24세,483,2137
212,용산구,2018,25~29세,2388,2668
213,용산구,2018,30~34세,2717,2096
214,용산구,2018,35~39세,2040,1724
215,용산구,2018,40~44세,1449,1195
216,용산구,2018,45~49세,1516,1204
217,용산구,2018,50~54세,1253,864
218,용산구,2018,55~59세,1188,944
219,용산구,2018,60~64세,1037,1057
220,용산구,2018,65~69세,629,891
221,용산구,2018,70~74세,423,994
222,용산구,2018,75~79세,305,1015
223,용산구,2018,80~84세,186,836
224,용산구,2018,85세이상,120,574
225,용산구,2019,20세미만,60,192
226,용산구,2019,20~24세,517,2119
227,용산구,2019,25~29세,2532,2817
228,용산구,2019,30~34세,2747,2238
229,용산구,2019,35~39세,2158,1801
230,용산구,2019,40~44세,1470,1231
231,용산구,2019,45~49세,1524,1205
232,용산구,2019,50~54세,1240,918
233,용산구,2019,55~59세,1187,917
234,용산구,2019,60~64세,1029,1083
235,용산구,2019,65~69세,671,925
236,용산구,2019,70~74세,448,1012
237,용산구,2019,75~79세,296,1025
238,용산구,2019,80~84세,202,873
239,용산구,2019,85세이상,123,588
240,용산구,2020,20세미만,45,412
241,용산구,2020,20~24세,525,2138
242,용산구,2020,25~29세,2641,3005
243,용산구,2020,30~34세,3051,2499
244,용산구,2020,35~39세,2236,1874
245,용산구,2020,40~44세,1558,1345
246,용산구,2020,45~49세,1454,1175
247,용산구,2020,50~54세,1293,952
248,용산구,2020,55~59세,1208,921
249,용산구,2020,60~64세,1066,1088
250,용산구,2020,65~69세,706,1017
251,용산구,2020,70~74세,459,991
252,용산구,2020,75~79세,280,1054
253,용산구,2020,80~84세,225,881
254,용산구,2020,85세이상,133,649
255,용산구,2021,20세미만,41,99
256,용산구,2021,20~24세,558,2062
257,용산구,2021,25~29세,2864,3532
258,용산구,2021,30~34세,3393,2832
259,용산구,2021,35~39세,2413,2023
260,용산구,2021,40~44세,1655,1451
