자치구,시점,단독주택,아파트,연립주택,다세대주택,비거주용건물내,총 합,단독주택 비율,아파트 비율,연립주택 비율,다세대주택 비율,비거주용건물내 비율
양천구,2017,8370,85758,4265,37784,879,137056,0.061069927620826525,0.6257150361895868,0.031118666822320805,0.27568293252393183,0.0064134368433341115
양천구,2018,7990,85921,4225,38855,859,137850,0.057961552412042074,0.6232934348929996,0.030649256438157416,0.2818643453028654,0.006231410953935437
양천구,2019,7818,87387,4144,39730,859,139938,0.05586759850791065,0.6244694078806329,0.029613114379225085,0.2839114464977347,0.006138432734496706
양천구,2020,7698,90788,4042,40382,859,143769,0.053544227197796466,0.631485229778325,0.028114544860157614,0.28088113571075823,0.0059748624529627386
양천구,2021,7597,92278,3954,41185,829,145843,0.05209026144552704,0.6327214881756409,0.027111345762223762,0.2823927099689392,0.005684194647669069
강서구,2017,10895,111037,5134,59950,1160,188176,0.05789792534648414,0.5900699345293767,0.027282969135277613,0.31858472918969477,0.006164441799166738
강서구,2018,10697,111811,4966,61900,1151,190525,0.056144862878887286,0.5868573677995014,0.02606482088964703,0.32489174648996194,0.006041201942002362
강서구,2019,10456,113076,4853,64018,1148,193551,0.05402193737051216,0.5842181130554738,0.02507349484115298,0.3307552014714468,0.005931253261414304
강서구,2020,10260,113767,4794,65426,1136,195383,0.052512245179979836,0.5822768613441293,0.024536423332633853,0.33486024884457705,0.005814221298680028
강서구,2021,10060,116965,4752,66670,1109,199556,0.05041191445007918,0.5861262001643649,0.023812864559321693,0.33409168353745317,0.005557337288781094
구로구,2017,12008,75540,7405,25884,847,121684,0.09868183162946649,0.6207882712599849,0.060854344038657505,0.212714900890832,0.006960652181059137
구로구,2018,11827,77194,7392,27310,846,124569,0.09494336472155994,0.619688686591367,0.0593406064109048,0.21923592547102408,0.006791416805144137
구로구,2019,11692,81131,7399,28622,849,129693,0.09015135743640752,0.6255619038807029,0.05705011064590996,0.22069039963606363,0.006546228400916009
구로구,2020,11474,83459,7388,29852,839,133012,0.08626289357351216,0.6274546657444441,0.05554386070429736,0.22443087841698495,0.006307701560761435
구로구,2021,11316,83841,7495,30883,832,134367,0.08421710687892116,0.6239701712474045,0.055780065045732956,0.22984066028117023,0.006191996546771157
금천구,2017,9410,29385,3923,19056,540,62314,0.1510094039862631,0.4715633725968482,0.06295535513688738,0.30580607889077893,0.008665789389222326
금천구,2018,9217,30918,3872,20696,541,65244,0.1412696952976519,0.47388265587640244,0.05934645331371467,0.3172092452945865,0.008291950217644534
금천구,2019,9011,30996,3913,22548,544,67012,0.13446845341132932,0.462544021966215,0.05839252671163374,0.33647704888676655,0.008117949024055392
금천구,2020,8807,31689,3914,23859,535,68804,0.12800127899540725,0.46056915295622347,0.05688622754491018,0.34676762978896575,0.007775710714493344
금천구,2021,8645,32995,3954,25002,521,71117,0.12156024579214533,0.4639537663287259,0.055598520747500595,0.3515615113123444,0.007325955819283716
영등포구,2017,15401,68204,1500,12928,1192,99225,0.15521289997480472,0.6873670949861426,0.015117157974300832,0.13028974552784076,0.01201310153691106
영등포구,2018,14644,68984,1486,13674,1183,99971,0.14648247991917657,0.6900401116323734,0.014864310650088525,0.1367796661031699,0.011833431695191606
영등포구,2019,14378,69946,1502,14595,1182,101603,0.14151156954026947,0.6884245543930789,0.014783028060195073,0.14364733324803403,0.011633514758422487
영등포구,2020,14276,74957,1487,15474,1172,107366,0.13296574334519307,0.6981446640463461,0.013849822103831753,0.14412383808654508,0.010915932418083937
영등포구,2021,14054,77550,1501,16134,1157,110396,0.12730533714989672,0.7024711040255082,0.013596507119823182,0.14614659951447517,0.01048045219029675
동작구,2017,15626,58320,5236,31283,1083,111548,0.14008319288557392,0.5228242550292251,0.04693943414494209,0.28044429303976764,0.009708824900491268
동작구,2018,14889,59188,5152,31713,1090,112032,0.13289952870608399,0.5283133390459869,0.045986860896886604,0.2830709083119109,0.009729363039131677
동작구,2019,14661,61596,5161,32557,1100,115075,0.12740386704323267,0.5352683032804693,0.04484901151422985,0.28291983489028893,0.009558983271779274
동작구,2020,14522,61606,5289,33103,1095,115615,0.12560653894390866,0.5328547333823466,0.045746659170522855,0.28632097911170695,0.009471089391514942
동작구,2021,14362,65242,5209,33669,1052,119534,0.12014991550521191,0.5458028678033028,0.04357755952281359,0.2816688138939549,0.008800843274716816
관악구,2017,22196,53548,6498,40024,1904,124170,0.17875493275348311,0.4312474832890392,0.0523314810340662,0.32233228638157363,0.015333816541837802
관악구,2018,21584,53915,6442,41274,1933,125148,0.17246779812701762,0.4308099210534727,0.05147505353661265,0.3298015150062326,0.01544571227666443
관악구,2019,21510,54355,6438,42253,1970,126526,0.17000458403806332,0.42959549815848125,0.050882822502884784,0.33394717291307713,0.01556992238749348
관악구,2020,21249,55417,6218,42770,1914,127568,0.1665699862034366,0.43441145114762325,0.048742631380910575,0.3352721685689201,0.015003762699109495
관악구,2021,21109,55524,6214,43014,1922,127783,0.165194118153432,0.43451789361652177,0.04862931688878802,0.3366175469350383,0.01504112440621992
서초구,2017,6491,91064,5647,24436,1339,128977,0.05032680245315056,0.7060483652124022,0.043783000069779886,0.1894601363033719,0.010381695961295425
서초구,2018,6395,93299,5592,25426,1328,132040,0.048432293244471375,0.7065964859133596,0.04235080278703423,0.19256285973947287,0.010057558315661921
서초구,2019,6331,92106,5489,26531,1320,131777,0.048043285247046146,0.6989535351389089,0.04165370284647549,0.20133255423935892,0.010016922528210537
서초구,2020,5481,94499,5356,26931,1261,133528,0.04104757054700138,0.7077092445030256,0.04011143730153975,0.2016880354682164,0.009443712180216883
서초구,2021,5326,95298,5286,28062,1199,135171,0.039401942724400944,0.7050180881993919,0.03910602126195708,0.20760370197749517,0.008870245836754925
강남구,2017,7334,127206,6149,30806,1787,173282,0.042324072898512255,0.7340981752288178,0.03548550917002343,0.17777957318128831,0.010312669521358248
강남구,2018,7283,124418,6121,31817,1792,171431,0.0424835648161651,0.7257613850470451,0.035705327507860304,0.18559653738238707,0.01045318524654234
강남구,2019,7196,122664,5919,32872,1793,170444,0.04221914529112201,0.7196733237896318,0.03472694844054352,0.19286099833376358,0.010519584144939101
강남구,2020,6968,126023,5827,33190,1737,173745,0.04010475121586233,0.7253331031108808,0.03353765575987798,0.19102707991596882,0.009997409997409997
강남구,2021,6500,128437,5735,33232,1632,175536,0.03702944125421566,0.7316846686719534,0.03267136086045028,0.18931729104001457,0.009297238173366147
송파구,2017,9322,117214,4892,63581,1663,196672,0.04739871461112919,0.5959872274650179,0.024873901724698992,0.3232844533029613,0.008455702896192645
송파구,2018,8441,119226,4797,65656,1619,199739,0.0422601494950911,0.5969089662008922,0.024016341325429687,0.3287089651995855,0.008105577779001597
송파구,2019,8255,125800,4899,68133,1605,208692,0.03955590056159316,0.6028022157054415,0.023474785808751654,0.3264763383359209,0.007690759588292795
송파구,2020,8072,127239,4900,69796,1571,211578,0.038151414608324115,0.6013810509599297,0.023159307678492093,0.3298830691281702,0.0074251576250838934
송파구,2021,7791,131487,4720,70238,1495,215731,0.036114420273396036,0.6094951583221697,0.021879099434017363,0.32558139534883723,0.006929926621579653
강동구,2017,10742,75263,3551,30251,1133,120940,0.08882090292707127,0.6223168513312386,0.029361666942285432,0.25013229700678025,0.009368281792624443
강동구,2018,10467,75473,3512,32149,1117,122718,0.08529311103505598,0.6150116527322805,0.028618458579833438,0.26197460845189785,0.009102169200932219
강동구,2019,10220,73505,3165,35001,1123,123014,0.08307997463703318,0.5975336140601882,0.02572877883818102,0.2845285902417611,0.009129042222836425
강동구,2020,9956,87159,3114,36562,1085,137876,0.07220981171487423,0.6321549798369549,0.022585511619136037,0.26518030694247,0.00786938988656474
강동구,2021,9672,94531,3199,37790,10,145202,0.06661065274582995,0.6510309775347447,0.022031376978278536,0.26025812316634755,6.88695747992452e-05
